SPY,GLD,VIX,TLT,TNX,UUP,FXE,USO
139.65,161.53,14.82,113.21,2.24,22.02,132.07,40.69
139.2,159.57,15.68,112.15,2.28,22.14,131.25,40.14
140.21,160.21,15.13,111.79,2.29,22.11,131.47,40.66
140.44,160.13,15.58,110.54,2.37,22.1,131.63,40.43
140.85,161.59,15.04,110.1,2.38,22.06,131.76,41.29
140.3,161.3,14.43,111.43,2.3,22.18,131.08,41.03
140.72,161.08,15.43,111.21,2.28,22.33,130.24,40.28
139.91,159.57,15.31,111.04,2.27,22.42,129.68,40.41
140.06,162.3,14.73,113.91,2.11,22.3,130.14,40.83
137.58,165.07,15.64,115.95,2.03,22.23,130.91,40.7
137.57,166.38,17.11,115.97,2.04,22.26,130.59,41.09
137.04,165.28,18.02,115.74,2.01,22.05,132.08,40.82
135.69,163.63,19.07,116.91,1.97,22.2,130.88,40.61
134.75,162.7,20.84,117.63,1.94,22.23,130.59,40.13
136.75,165.65,18.05,116.22,2.01,22.09,131.6,40.97
137.31,166.34,17.29,117.15,1.99,22.11,131.46,40.77
137.73,166.61,17.26,116.06,2.04,21.96,132.48,41.75
137.02,164.29,18.43,117.43,1.98,21.96,132.62,40.92
137.56,173.49,17.95,118.15,1.93,21.78,134.02,40.79
137.16,171.7,18.18,118.54,1.92,21.88,133.4,41.18
136.93,172.23,17.31,117.5,1.98,21.81,134.07,42.01
136.63,173.02,16.83,116.74,1.98,21.9,133.14,41.37
136.03,172.94,18.19,116.74,2.01,22.07,131.85,40.59
136.47,171.02,18.19,115.29,2.05,22.04,131.82,40.58
136.41,167.35,17.78,116.58,2.01,22.13,131.02,39.75
136.05,168,19.22,116.61,1.99,22.13,130.84,39.28
134.56,168.11,21.14,117.55,1.93,22.21,130.06,39.18
135.19,167.12,19.54,117.76,1.92,22.14,130.64,38.84
135.36,167.51,19.04,117.14,1.99,22.03,131.34,38.69
134.36,167.14,20.77,116.99,1.97,22.06,131.18,38.02
135.36,168.02,18.63,115.49,2.05,21.92,132.28,38.33
135.19,168.5,18.16,116.36,1.98,21.91,132.01,38.04
134.79,169.7,17.67,116.27,1.97,21.89,131.97,37.95
134.45,167.18,17.76,117.73,1.9,22.04,130.73,37.33
134.54,167.64,17.1,116.57,1.95,22.03,130.92,37.59
